State,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Belgium,3592,3595,3631,3607,3602,3605,3607,3614,3615,3612
Bulgaria,4070,4032,4023,4019,4029,4030,4030,4030,4029,4031
Czechia,9570,9560,9559,9566,9564,9567,9572,9562,9542,9523
Denmark,2095,2615,2612,2552,2539,2481,2481,2536,2485,2485
Germany,37941,37860,37775,38466,38623,38594,38416,38394,39773,39799
Estonia,1196,1166,1166,1164,1161,1161,1161,1167,1167,1167
Ireland,1931,1931,1931,1931,1931,1931,2045,2045,2045,2045
Greece,2554,2586,2238,2240,2240,2240,2293,2280,2345,2339
Spain,13976,15312,15182,15384,16167,15949,15449,"16006,02","16135,36","16280,46"
France,30581,30318,29335,28808,28364,"28120,37",27594,27483,27213,27057
Croatia,2722,2722,2604,2604,2604,2604,2604,2617,2617,2617
Italy,16742,16752,,,16788,16787,16781,16779,16782,16832
Latvia,1859,1859,1860,1860,"1859,6","1859,6","1859,6","1859,6","1859,1","1859,1"
Lithuania,"1767,6","1767,6","1767,6","1877,2","1911,3","1911,3","1910,7","1910,7","1910,8","1910,8"
Luxembourg,275,275,275,275,275,263,263,263,263,263
Hungary,"7486,2","7356,7",7209,7197,7811,7955,7732,7743,7787,7889
Netherlands,3013,3013,3032,3031,3058,3055,3040,3040,3041,3041
Austria,5566,5531,5531,5522,5491,5527,5526,5615,5607,5603
Poland,20094,19328,19240,19231,19132,19209,19196,19359,19383,19287
Portugal,"2541,2","2544,4",2546,2546,2546,"2545,96","2545,96","2526,15","2526,15","2527,05"
Romania,10777,10768,10777,10770,10774,10774,10765,10759,10769,10764
Slovenia,1209,1209,1209,1209,1209,1209,1209,1209,1209,1209
Slovakia,3631,3631,3627,3626,3626,3626,3627,3629,3627,3626
Finland,5944,5944,5944,5923,5926,5926,5926,5923,5918,5918
Sweden,11136,10957,10881,10908,10882,10874,10906,10899,10909,10912
Norway,3891,3897,3906,3896,3895,3895,3887,3890,3851,3851
Switzerland,"5,15",5181,5187,5205,5249,5265,5262,5302,5317,5332
United Kingdom,16195,16195,16202,16241,16253,16320,16289,16346,16377,16316
Bosnia and Herzegovina,1027,1027,1027,1027,1018,1018,1018,1018,1018,1018
Montenegro,,,,,250,250,250,250,"250,5","250,5"
Moldova,"1156,9","1156,9","1155,8","1150,8","1150,8","1150,8","1149,6","1149,6","1149,6",
North Macedonia,699,699,699,699,683,683,683,683,683,683
Albania,,346,346,379,334,334,334,"234,85","204,15",224
Serbia,,3819,3819,3766,3766,3764,3724,3763,3354,3369
Türkiye,9642,9718,10087,10131,10131,10207,10315,10378,,
Ukraine,21619,21605,20948,20954,20952,19770,19765,19799,19790,
Kosovo,,,,,,"246,35","246,35","246,35","246,35","246,35"
Georgia,1418,1578,1576,1576,1576,,,,,
